Count,X,Y,Z,Training count,Output
3394,0.37,4.24,-23.08,,1
3344,-4.13,-9.79,0.08,40,1
3343,-3.54,-8.95,0.09,,1
3342,-2.91,-8.08,0.2,,1
3341,-2.7,-5.99,0.44,,1
3340,-2.76,-2.54,0.77,,1
3339,-3.49,-1.21,0.09,,1
3338,-4.85,-4.73,-2.15,,1
3337,-5.37,-1.9,-6.14,,1
3336,-5.19,2.13,-10.84,,1
3335,-4.24,1.11,-15.45,,1
3334,-3.26,2.16,-19.69,,1
3333,-2.29,5.75,-22.58,,1
3332,-1.18,7.93,-23.98,,1
3331,0.38,5.2,-24.22,,1
3330,0.34,6.09,-23.87,,1
3329,0.48,5.28,-23.6,,1
3328,0.5,5.03,-23.58,,1
3274,-3.09,-8.32,-2.45,39,1
3273,-2.58,-7.3,-2.54,,1
3272,-2.78,-7.63,-2.37,,1
3271,-2.84,-4.23,-2.04,,1
3270,-3.31,-2.82,-1.43,,1
3269,-3.87,-3.01,-2.23,,1
3268,-4.37,-3.85,-5.02,,1
3267,-4.51,-2.3,-9.31,,1
3266,-4.44,0.28,-14.13,,1
3265,-3.66,3.38,-18.64,,1
3264,-2.29,5.37,-21.61,,1
3263,-0.96,7.01,-22.92,,1
3262,-0.1,6.61,-22.73,,1
3261,0.27,5.71,-22.1,,1
3260,0.56,5.47,-21.68,,1
3259,0.5,4.84,-21.61,,1
3258,0.45,4.87,-21.63,,1
3208,-3.33,-8.64,-1.28,38,1
3207,-3.04,-8.34,-1.34,,1
3206,-2.6,-9.64,-1.43,,1
3205,-2.46,-6.56,-1.17,,1
3204,-3.2,-5.5,-0.43,,1
3203,-3.64,-4.21,-0.6,,1
3202,-3.54,-3.3,-2.27,,1
3201,-3.1,-1.75,-5.44,,1
3200,-2.97,-2.59,-9.49,,1
3199,-2.39,-2.03,-14.19,,1
3198,-2.01,0.51,-18.25,,1
3197,-1.34,3.16,-20.79,,1
3196,-0.31,4.27,-21.76,,1
3195,0.18,5.54,-21.38,,1
3194,0.44,5.01,-20.73,,1
3193,0.46,4.26,-20.47,,1
3192,0.29,4.19,-20.45,,1
3140,-3.35,-10.48,-0.6,37,1
3139,-3.09,-10.19,-0.75,,1
3138,-2.91,-9.79,-0.84,,1
3137,-2.91,-9.47,-0.53,,1
3136,-2.39,-4.98,0.2,,1
3135,-2.96,-5.24,0.78,,1
3134,-3.09,-3.92,-0.37,,1
3133,-4.16,-3.05,-3.81,,1
3132,-4.17,-0.5,-8.59,,1
3131,-3.32,0.7,-13.56,,1
3130,-2.15,1.89,-17.71,,1
3129,-1,4,-20.55,,1
3128,-0.14,4.49,-21.69,,1
3127,0.33,5.99,-21.24,,1
3126,0.37,5.87,-20.29,,1
3125,0.44,4.43,-19.93,,1
3124,0.4,4.52,-19.94,,1
3123,0.43,4.58,-19.96,,1
3032,-3.05,-8.98,2.14,36,1
3031,-2.51,-7.86,2.01,,1
3030,-2.05,-8.06,2.25,,1
3029,-2.45,-4.1,2.55,,1
3028,-3.26,-3.98,3.24,,1
3027,-3.69,-0.65,3.17,,1
3026,-4.04,-1.98,1.2,,1
3025,-3.15,-2.14,-3.25,,1
3024,-2.41,0.36,-9.47,,1
3023,-1.77,0.92,-15.56,,1
3022,-1.15,3.25,-20.23,,1
3021,-0.57,5.78,-22.24,,1
3020,-0.02,8.44,-21.96,,1
3019,0.2,8.23,-20.53,,1
3018,0.41,6.5,-19.68,,1
3017,0.46,5.87,-19.53,,1
3016,0.55,5.85,-19.52,,1
3015,0.54,5.78,-19.51,,1
2937,-3.21,-9.48,2.99,35,1
2936,-2.9,-8.67,3.02,,1
2935,-2.28,-8.17,3.08,,1
2934,-2.5,-8.91,3.3,,1
2933,-3.04,-5.66,3.65,,1
2932,-3.54,-5.39,4.09,,1
2931,-3.53,-3.63,3.41,,1
2930,-3.98,-4.25,1.26,,1
2929,-3.89,-4.06,-2.32,,1
2928,-3.5,-2.68,-6.7,,1
2927,-2.73,-1.8,-10.99,,1
2926,-1.57,0.01,-14.09,,1
2925,-0.2,3.2,-15.39,,1
2924,-0.12,3.17,-14.87,,1
2923,0.01,3.32,-14.11,,1
2922,0.33,2.44,-13.86,,1
2921,0.29,2.22,-13.84,,1
2868,-3.87,-10.65,5.13,34,1
2867,-3.66,-10.14,5.04,,1
2866,-3.49,-9.63,4.89,,1
2865,-2.94,-8.71,4.78,,1
2864,-2.68,-7.86,4.87,,1
2863,-2.71,-5.35,5.21,,1
2862,-3.38,-3.58,5.53,,1
2861,-3.94,-3.59,5.35,,1
2860,-4.43,-4.71,3.45,,1
2859,-4.31,-3.42,-0.33,,1
2858,-3.94,-2.13,-4.97,,1
2857,-3.21,-2.27,-9.78,,1
2856,-2.09,0.58,-13.79,,1
2855,-0.42,3.59,-15.71,,1
2854,0.12,3.5,-15.63,,1
2853,0.38,3.9,-14.95,,1
2852,0.35,3.31,-14.75,,1
2851,0.26,2.87,-14.7,,1
2794,-3.46,-8.77,4.7,33,1
2793,-2.88,-8.53,4.63,,1
2792,-2.62,-8.46,4.47,,1
2791,-1.78,-7.53,4.48,,1
2790,-2.74,-6.24,4.71,,1
2789,-3.63,-2.65,5.17,,1
2788,-5.02,-3.3,5.1,,1
2787,-5.19,-2.53,3.33,,1
2786,-5.23,-1.83,-0.55,,1
2785,-4.58,-3.09,-5.41,,1
2784,-3.43,-0.81,-10.41,,1
2783,-2.06,1.62,-13.85,,1
2782,-0.62,3.44,-15.55,,1
2781,-0.04,3.31,-15.64,,1
2780,0.45,4.67,-15.02,,1
2779,0.55,3.41,-14.77,,1
2778,0.36,3.27,-14.78,,1
2722,-3.06,-9.51,4.19,32,1
2721,-2.63,-7.31,3.93,,1
2720,-2.66,-7.27,3.84,,1
2719,-2.01,-7.48,3.94,,1
2718,-2,-3.22,4.04,,1
2717,-3.11,-1.21,4.4,,1
2716,-3.64,-2.48,3.23,,1
2715,-4.41,-5.07,-0.58,,1
2714,-3.51,-3.01,-6.35,,1
2713,-2.59,0.01,-11.72,,1
2712,-1.3,1.16,-15.08,,1
2711,0.21,2.8,-16.39,,1
2710,0.22,4.72,-15.74,,1
2709,0.34,3.94,-14.66,,1
2708,0.4,3.26,-14.51,,1
2707,0.34,3.09,-14.58,,1
2659,-3.19,-9.76,6.5,31,1
2658,-3.09,-9.85,6.41,,1
2657,-2.23,-8.09,6.61,,1
2656,-2.66,-4.92,6.82,,1
2655,-3.2,-3,7.1,,1
2654,-4.84,-6.47,5.93,,1
